gpLine	SeqName	Position
189	"ptg000186l"	997190025.0
190	"ptg000187l"	997279975.0
191	"ptg000188l"	997316305.0
192	"ptg000189l"	997344025.0
193	"ptg000190l"	999457232.0
194	"ptg000191l"	999543994.0
195	"ptg000192l"	999571709.0
196	"ptg000193l"	999626000.0
197	"ptg000194l"	999840865.0
198	"ptg000195l"	999933105.0
199	"ptg000196l"	999987715.0
200	"ptg000197l"	1000048319.0
201	"ptg000198l"	1000097160.0
202	"ptg000199l"	1000145913.0
203	"ptg000200l"	1000210183.0
204	"ptg000201l"	1000258209.0
205	"ptg000202l"	1000289343.0
206	"ptg000203l"	1000397665.0
207	"ptg000204l"	1000425465.0
208	"ptg000205l"	1000454674.0
209	"ptg000206l"	1000488562.0
210	"ptg000207l"	1000533287.0
211	"ptg000208l"	1000607079.0
212	"ptg000209l"	1000649523.0
213	"ptg000210l"	1000687994.0
214	"ptg000211l"	1000723960.0
215	"ptg000212l"	1000841868.0
216	"ptg000213l"	1000870909.0
217	"ptg000214l"	1001141925.0
218	"ptg000215l"	1001187050.0
219	"ptg000216l"	1001241152.0
220	"ptg000217l"	1001277266.0
221	"ptg000218l"	1001324913.0
222	"ptg000219l"	1001368056.0
223	"ptg000220l"	1001395365.0
224	"ptg000221l"	1001413369.0
225	"ptg000222l"	1001438626.0
226	"ptg000223l"	1001566357.0
227	"ptg000224l"	1001739571.0
228	"ptg000225l"	1001791163.0
229	"ptg000226l"	1001835372.0
230	"ptg000227l"	1001860708.0
231	"ptg000228l"	1001917438.0
232	"ptg000229l"	1001948560.0
233	"ptg000230l"	1002021826.0
234	"ptg000231l"	1002136571.0
235	"ptg000232l"	1002161781.0
236	"ptg000233l"	1002217632.0
237	"ptg000234l"	1002269395.0
238	"ptg000235l"	1002289549.0
239	"ptg000236l"	1002315845.0
240	"ptg000237l"	1002364202.0
241	"ptg000238l"	1002404045.0
242	"ptg000239l"	1002429055.0
243	"ptg000240l"	1002458965.0
244	"ptg000241l"	1002508151.0
245	"ptg000242l"	1002614141.0
246	"ptg000243l"	1002696716.0
247	"ptg000244l"	1002727732.0
248	"ptg000245l"	1002760221.0
249	"ptg000246l"	1002832552.0
250	"ptg000247l"	1002915698.0
251	"ptg000248l"	1002991692.0
252	"ptg000249l"	1003030412.0
253	"ptg000250l"	1003069389.0
254	"ptg000251l"	1003117849.0
255	"ptg000252l"	1003161090.0
256	"ptg000253l"	1003214362.0
257	"ptg000254l"	1003269359.0
258	"ptg000255l"	1003304263.0
259	"ptg000256l"	1003343217.0
260	"ptg000257l"	1003380883.0
261	"ptg000258l"	1003433073.0
262	"ptg000259l"	1003473288.0
263	"ptg000260l"	1003529969.0
264	"ptg000261l"	1003604394.0
265	"ptg000262l"	1003657510.0
266	"ptg000263l"	1003744427.0
267	"ptg000264l"	1003778856.0
268	"ptg000265l"	1003807531.0
269	"ptg000266l"	1003839233.0
270	"ptg000267l"	1003885540.0
271	"ptg000268l"	1003953245.0
272	"ptg000269l"	1003986138.0
273	"ptg000270l"	1004037840.0
274	"ptg000271l"	1004074623.0
275	"ptg000272l"	1004135202.0
276	"ptg000273l"	1004163648.0
277	"ptg000274l"	1004187733.0
278	"ptg000275l"	1004205162.0
279	"ptg000276l"	1004272975.0
280	"ptg000277l"	1004303019.0
281	"ptg000278l"	1004323668.0
282	"ptg000279l"	1004364917.0
283	"ptg000280l"	1004390901.0
284	"ptg000281l"	1004415834.0
285	"ptg000282l"	1004449256.0
286	"ptg000283l"	1004502614.0
287	"ptg000284l"	1004540786.0
288	"ptg000285l"	1004593381.0
289	"ptg000286l"	1004624166.0
290	"ptg000287l"	1004664624.0
291	"ptg000288l"	1004740288.0
292	"ptg000289l"	1004784450.0
293	"ptg000290l"	1004828382.0
294	"ptg000291l"	1004872237.0
295	"ptg000292l"	1004911874.0
296	"ptg000293l"	1004959023.0
297	"ptg000294l"	1005023544.0
298	"ptg000295l"	1005065959.0
299	"ptg000296l"	1005093205.0
300	"ptg000297l"	1005144761.0
301	"ptg000298l"	1005190711.0
302	"ptg000299l"	1005208048.0
303	"ptg000300l"	1005243906.0
304	"ptg000301l"	1005284970.0
305	"ptg000302l"	1005313929.0
306	"ptg000303l"	1005348106.0
307	"ptg000304l"	1005380504.0
308	"ptg000305l"	1005407356.0
309	"ptg000306l"	1005457306.0
310	"ptg000307l"	1005530548.0
311	"ptg000308l"	1005568101.0
312	"ptg000309l"	1005611536.0
313	"ptg000310l"	1005640686.0
314	"ptg000311l"	1005695561.0
315	"ptg000312l"	1005726603.0
316	"ptg000313l"	1005778018.0
317	"ptg000314l"	1005832237.0
318	"ptg000315l"	1005869284.0
319	"ptg000316l"	1005931280.0
320	"ptg000317l"	1005968067.0
321	"ptg000318l"	1006013218.0
322	"ptg000319l"	1006078808.0
323	"ptg000320l"	1006111141.0
324	"ptg000321l"	1006150177.0
325	"ptg000322l"	1006190744.0
326	"ptg000323l"	1006256264.0
327	"ptg000324l"	1006282912.0
328	"ptg000325l"	1006305903.0
329	"ptg000326l"	1006345585.0
330	"ptg000327l"	1006377706.0
331	"ptg000328l"	1006415441.0
332	"ptg000329l"	1006438810.0
333	"ptg000330l"	1006470653.0
334	"ptg000331l"	1006509139.0
335	"ptg000332l"	1006528540.0
336	"ptg000333l"	1006569491.0
337	"ptg000334l"	1006614547.0
338	"ptg000335l"	1006656290.0
339	"ptg000336l"	1006691984.0
340	"ptg000337l"	1006749862.0
341	"ptg000338l"	1006772370.0
342	"ptg000339l"	1006798174.0
343	"ptg000340l"	1006830723.0
344	"ptg000341l"	1006892098.0
345	"ptg000342l"	1006928101.0
346	"ptg000343l"	1006967447.0
347	"ptg000344l"	1006982924.0
348	"ptg000345l"	1007011928.0
349	"ptg000346l"	1007066707.0
350	"ptg000347l"	1007092759.0
351	"ptg000348l"	1007121693.0
352	"ptg000349l"	1007149415.0
353	"ptg000350l"	1007188625.0
354	"ptg000351l"	1007218148.0
355	"ptg000352l"	1007243732.0
356	"ptg000353l"	1007270338.0
357	"ptg000354l"	1007297254.0
358	"ptg000355l"	1007340009.0
359	"ptg000356l"	1007361507.0
360	"ptg000357l"	1007419160.0
361	"ptg000358l"	1007441389.0
362	"ptg000359l"	1007469297.0
363	"ptg000360l"	1007495540.0
364	"ptg000361l"	1007525212.0
365	"ptg000362l"	1007566993.0
366	"ptg000363l"	1007599056.0
367	"ptg000364l"	1007638915.0
368	"ptg000365l"	1007660936.0
369	"ptg000366l"	1007699134.0
370	"ptg000367l"	1007728447.0
371	"ptg000368l"	1007762823.0
372	"ptg000369l"	1007787329.0
373	"ptg000370l"	1007824759.0
374	"ptg000371l"	1007848927.0
375	"ptg000372l"	1007888344.0
376	"ptg000373l"	1007914534.0
377	"ptg000374l"	1007943554.0
378	"ptg000375l"	1007980210.0
379	"ptg000376l"	1008019811.0
380	"ptg000377l"	1008050718.0
381	"ptg000378l"	1008078245.0
382	"ptg000379l"	1008108918.0
383	"ptg000380l"	1008141032.0
384	"ptg000381l"	1008168948.0
385	"ptg000382l"	1008191943.0
386	""	1008223669
389	"atg000001l"	1.0
390	"atg000002l"	379626.0
391	"atg000003l"	972448.0
392	"atg000004l"	2354409.0
393	"atg000005l"	2440701.0
394	"atg000006l"	2903978.0
395	"atg000007l"	3006969.0
396	"atg000008l"	3930516.0
397	"atg000009l"	9532749.0
398	"atg000010l"	9561950.0
399	"atg000011l"	9597266.0
400	"atg000012l"	10088097.0
401	"atg000013l"	11256226.0
402	"atg000014l"	16377087.0
403	"atg000015l"	16395329.0
404	"atg000016l"	17360119.0
405	"atg000017l"	18238160.0
406	"atg000018l"	18263886.0
407	"atg000019l"	18299895.0
408	"atg000020l"	18322503.0
409	"atg000021l"	18367940.0
410	"atg000022l"	18441425.0
411	"atg000023l"	18898792.0
412	"atg000024l"	19016318.0
413	"atg000025l"	19044234.0
414	"atg000026l"	20097371.0
415	"atg000027l"	21719780.0
416	"atg000028l"	22934457.0
417	"atg000029l"	23603780.0
418	"atg000030l"	23643664.0
419	"atg000031l"	24137285.0
420	"atg000032l"	25556252.0
421	"atg000033l"	29239039.0
422	"atg000034l"	30428255.0
423	"atg000035l"	30471444.0
424	"atg000036l"	32674418.0
425	"atg000037l"	35450114.0
426	"atg000038l"	38209885.0
427	"atg000039l"	38254738.0
428	"atg000040l"	38293159.0
429	"atg000041l"	40016714.0
430	"atg000042l"	40057922.0
431	"atg000043l"	40098560.0
432	"atg000044l"	42139198.0
433	"atg000045l"	43118632.0
434	"atg000046l"	43171957.0
435	"atg000047l"	43217502.0
436	"atg000048l"	43238086.0
437	"atg000049l"	43254209.0
438	"atg000050l"	43268679.0
439	"atg000051l"	44664072.0
440	"atg000052l"	44689509.0
441	"atg000053l"	45291127.0
442	"atg000054l"	45324696.0
443	"atg000055l"	45337123.0
444	"atg000056l"	45363162.0
445	"atg000057l"	48126571.0
446	"atg000058l"	48163553.0
447	"atg000059l"	48193676.0
448	"atg000060l"	48231312.0
449	"atg000061l"	48620704.0
450	"atg000062l"	48646515.0
451	"atg000063l"	50274081.0
452	"atg000064l"	50325507.0
453	"atg000065l"	50342761.0
454	"atg000066l"	55443845.0
455	"atg000067l"	55470901.0
456	"atg000068l"	55931280.0
457	"atg000069l"	56258086.0
458	"atg000070l"	56395592.0
459	"atg000071l"	58145726.0
460	"atg000072l"	58172629.0
461	"atg000073l"	58268675.0
462	"atg000074l"	58718918.0
463	"atg000075l"	60705925.0
464	"atg000076l"	60753272.0
465	"atg000077l"	60784972.0
466	"atg000078l"	61122683.0
467	"atg000079l"	61650849.0
468	"atg000080l"	61845341.0
469	"atg000081l"	61906755.0
470	"atg000082l"	61939345.0
471	"atg000083l"	61973667.0
472	"atg000084l"	62411666.0
473	"atg000085l"	62646765.0
474	"atg000086l"	63072906.0
475	"atg000087l"	63394192.0
476	"atg000088l"	66677010.0
477	"atg000089l"	67152884.0
478	"atg000090l"	67621664.0
479	"atg000091l"	67646472.0
480	"atg000092l"	67677530.0
481	"atg000093l"	68548508.0
482	"atg000094l"	69227302.0
483	"atg000095l"	69586488.0
484	"atg000096l"	69611046.0
485	"atg000097l"	69967106.0
486	"atg000098l"	69987685.0
487	"atg000099l"	70008636.0
488	"atg000100l"	71085309.0
489	"atg000101l"	71127820.0
490	"atg000102l"	71148836.0
491	"atg000103l"	71709611.0
492	"atg000104l"	73069464.0
493	"atg000105l"	73095349.0
494	"atg000106l"	73992384.0
495	"atg000107l"	77427661.0
496	"atg000108l"	77468947.0
497	"atg000109l"	77503924.0
498	"atg000110l"	77548991.0
499	"atg000111l"	77575401.0
500	"atg000112l"	79994626.0
501	"atg000113l"	80927974.0
502	"atg000114l"	81543398.0
503	"atg000115l"	81795830.0
504	"atg000116l"	81921169.0
505	"atg000117l"	81945385.0
506	"atg000118l"	81965313.0
507	"atg000119l"	81992337.0
508	"atg000120l"	82344535.0
509	"atg000121l"	82660362.0
510	"atg000122l"	82690704.0
511	"atg000123l"	82707897.0
512	"atg000124l"	82963061.0
513	"atg000125l"	83349235.0
514	"atg000126l"	83802355.0
515	"atg000127l"	83829365.0
516	"atg000128l"	84294400.0
517	"atg000129l"	87210533.0
518	"atg000130l"	87662044.0
519	"atg000131l"	90261249.0
520	"atg000132l"	90423924.0
521	"atg000133l"	90440965.0
522	"atg000134l"	90482723.0
523	"atg000135l"	90820374.0
524	"atg000136l"	91410252.0
525	"atg000137l"	93149159.0
526	"atg000138l"	93192120.0
527	"atg000139l"	93492248.0
528	"atg000140l"	93862468.0
529	"atg000141l"	97011320.0
530	"atg000142l"	99585160.0
531	"atg000143l"	99622821.0
532	"atg000144l"	99754945.0
533	"atg000145l"	99769388.0
534	"atg000146l"	99799348.0
535	"atg000147l"	100696783.0
536	"atg000148l"	100761358.0
537	"atg000149l"	100848135.0
538	"atg000150l"	101215394.0
539	"atg000151l"	101795506.0
540	"atg000152l"	103319792.0
541	"atg000153l"	103358684.0
542	"atg000154l"	103425457.0
543	"atg000155l"	103742889.0
544	"atg000156l"	103776749.0
545	"atg000157l"	103806353.0
546	"atg000158l"	103830235.0
547	"atg000159l"	103870706.0
548	"atg000160l"	104080920.0
549	"atg000161l"	104227984.0
550	"atg000162l"	105223295.0
551	"atg000163l"	105500218.0
552	"atg000164l"	105947710.0
553	"atg000165l"	106252581.0
554	"atg000166l"	106282275.0
555	"atg000167l"	106311240.0
556	"atg000168l"	106551264.0
557	"atg000169l"	108652563.0
558	"atg000170l"	108819890.0
559	"atg000171l"	108835035.0
560	"atg000172l"	109549694.0
561	"atg000173l"	109571878.0
562	"atg000174l"	111544601.0
563	"atg000175l"	111880409.0
564	"atg000176l"	111896880.0
565	"atg000177l"	111911402.0
566	"atg000178l"	111952971.0
567	"atg000179l"	116291290.0
568	"atg000180l"	116323667.0
569	"atg000181l"	116357389.0
570	"atg000182l"	117329848.0
571	"atg000183l"	117393384.0
572	"atg000184l"	117419959.0
573	"atg000185l"	117435127.0
574	"atg000186l"	117603934.0
575	"atg000187l"	117638190.0
576	"atg000188l"	117689090.0
577	"atg000189l"	117709952.0
578	"atg000190l"	117740646.0
579	"atg000191l"	117771717.0
580	"atg000192l"	117983238.0
581	"atg000193l"	118035043.0
582	"atg000194l"	118459477.0
583	"atg000195l"	118779817.0
584	"atg000196l"	119786782.0
585	"atg000197l"	119811819.0
586	"atg000198l"	119854861.0
587	"atg000199l"	119887061.0
588	"atg000200l"	120255297.0
589	"atg000201l"	120813745.0
590	"atg000202l"	120929369.0
591	"atg000203l"	120974069.0
592	"atg000204l"	123235256.0
593	"atg000205l"	123263700.0
594	"atg000206l"	123611354.0
595	"atg000207l"	123639096.0
596	"atg000208l"	123876808.0
597	"atg000209l"	123961111.0
598	"atg000210l"	124006686.0
599	"atg000211l"	124033110.0
600	"atg000212l"	126335444.0
601	"atg000213l"	126631236.0
602	"atg000214l"	126700659.0
603	"atg000215l"	128324718.0
604	"atg000216l"	128352524.0
605	"atg000217l"	128491814.0
606	"atg000218l"	128506913.0
607	"atg000219l"	128522341.0
608	"atg000220l"	128570201.0
609	"atg000221l"	128601868.0
610	"atg000222l"	128667222.0
611	"atg000223l"	128710686.0
612	"atg000224l"	128729548.0
613	"atg000225l"	128752986.0
614	"atg000226l"	128794007.0
615	"atg000227l"	129395072.0
616	"atg000228l"	129461623.0
617	"atg000229l"	130385144.0
618	"atg000230l"	130415100.0
619	"atg000231l"	130437114.0
620	"atg000232l"	130602479.0
621	"atg000233l"	132442860.0
622	"atg000234l"	132597097.0
623	"atg000235l"	132619775.0
624	"atg000236l"	133005446.0
625	"atg000237l"	133592590.0
626	"atg000238l"	133673972.0
627	"atg000239l"	133718587.0
628	"atg000240l"	134820930.0
629	"atg000241l"	135943182.0
630	"atg000242l"	136022855.0
631	"atg000243l"	136077877.0
632	"atg000244l"	136349608.0
633	"atg000245l"	136393369.0
634	"atg000246l"	136546743.0
635	"atg000247l"	136569085.0
636	"atg000248l"	136864177.0
637	"atg000249l"	137338003.0
638	"atg000250l"	138272845.0
639	"atg000251l"	138343961.0
640	"atg000252l"	138513233.0
641	"atg000253l"	138596486.0
642	"atg000254l"	138695323.0
643	"atg000255l"	139880699.0
644	"atg000256l"	139913031.0
645	"atg000257l"	140416138.0
646	"atg000258l"	141010789.0
647	"atg000259l"	141036283.0
648	"atg000260l"	141057262.0
649	"atg000261l"	141094618.0
650	"atg000262l"	142428808.0
651	"atg000263l"	142627969.0
652	"atg000264l"	142878107.0
653	"atg000265l"	143883583.0
654	"atg000266l"	144082396.0
655	"atg000267l"	144107572.0
656	"atg000268l"	144144797.0
657	"atg000269l"	144493833.0
658	"atg000270l"	144551818.0
659	"atg000271l"	145137032.0
660	"atg000272l"	145155404.0
661	"atg000273l"	145189746.0
662	"atg000274l"	145196909.0
663	"atg000275l"	145614362.0
664	"atg000276l"	145648173.0
665	"atg000277l"	145695389.0
666	"atg000278l"	145863161.0
667	"atg000279l"	145892753.0
668	"atg000280l"	146919976.0
669	"atg000281l"	146941285.0
670	"atg000282l"	146970679.0
671	"atg000283l"	146996737.0
672	"atg000284l"	147028363.0
673	"atg000285l"	147070975.0
674	"atg000286l"	147863969.0
675	"atg000287l"	147897118.0
676	"atg000288l"	148028191.0
677	"atg000289l"	148081387.0
678	"atg000290l"	148355501.0
679	"atg000291l"	149000222.0
680	"atg000292l"	149330266.0
681	"atg000293l"	149400436.0
682	"atg000294l"	149426119.0
683	"atg000295l"	149659081.0
684	"atg000296l"	150226795.0
685	"atg000297l"	150255923.0
686	"atg000298l"	150679418.0
687	"atg000299l"	150696448.0
688	"atg000300l"	151031554.0
689	"atg000301l"	151122110.0
690	"atg000302l"	151152444.0
691	"atg000303l"	151196445.0
692	"atg000304l"	151270366.0
693	"atg000305l"	151489153.0
694	"atg000306l"	151880831.0
695	"atg000307l"	152056279.0
696	"atg000308l"	152220898.0
697	"atg000309l"	152716825.0
698	"atg000310l"	152739688.0
699	"atg000311l"	152759806.0
700	"atg000312l"	152814475.0
701	"atg000313l"	152846907.0
702	"atg000314l"	152902608.0
703	"atg000315l"	153128990.0
704	"atg000316l"	153156763.0
705	"atg000317l"	154239658.0
706	"atg000318l"	154287600.0
707	"atg000319l"	154328526.0
708	"atg000320l"	154783197.0
709	"atg000321l"	155079087.0
710	"atg000322l"	155572341.0
711	"atg000323l"	155686377.0
712	"atg000324l"	155710399.0
713	"atg000325l"	155732655.0
714	"atg000326l"	155752310.0
715	"atg000327l"	155785602.0
716	"atg000328l"	155804087.0
717	"atg000329l"	155853766.0
718	"atg000330l"	155988182.0
719	"atg000331l"	156025253.0
720	"atg000332l"	156665526.0
721	"atg000333l"	156864094.0
722	"atg000334l"	157253994.0
723	"atg000335l"	157305939.0
724	"atg000336l"	158417856.0
725	"atg000337l"	158438241.0
726	"atg000338l"	158768690.0
727	"atg000339l"	158790154.0
728	"atg000340l"	158826609.0
729	"atg000341l"	159158697.0
730	"atg000342l"	159194213.0
731	"atg000343l"	159550415.0
732	"atg000344l"	159809568.0
733	"atg000345l"	159860519.0
734	"atg000346l"	160320197.0
735	"atg000347l"	160351973.0
736	"atg000348l"	160381350.0
737	"atg000349l"	160446044.0
738	"atg000350l"	160482623.0
739	"atg000351l"	160521475.0
740	"atg000352l"	160546429.0
741	"atg000353l"	160568602.0
742	"atg000354l"	160640921.0
743	"atg000355l"	160684626.0
744	"atg000356l"	161155480.0
745	"atg000357l"	161202699.0
746	"atg000358l"	162827431.0
747	"atg000359l"	162880073.0
748	"atg000360l"	163535423.0
749	"atg000361l"	163565867.0
750	"atg000362l"	163588633.0
751	"atg000363l"	163857663.0
752	"atg000364l"	164284075.0
753	"atg000365l"	164310635.0
754	"atg000366l"	164547692.0
755	"atg000367l"	164575999.0
756	"atg000368l"	164921210.0
757	"atg000369l"	164942665.0
758	"atg000370l"	164986313.0
759	"atg000371l"	165012253.0
760	"atg000372l"	165049747.0
761	"atg000373l"	167173918.0
762	"atg000374l"	167981370.0
763	"atg000375l"	168403416.0
764	"atg000376l"	168597187.0
765	"atg000377l"	168641963.0
766	"atg000378l"	168674786.0
767	"atg000379l"	168711130.0
768	"atg000380l"	169106453.0
769	"atg000381l"	169133223.0
770	"atg000382l"	169359436.0
771	"atg000383l"	169390986.0
772	"atg000384l"	169598578.0
773	"atg000385l"	169648601.0
774	"atg000386l"	169684189.0
775	"atg000387l"	169971328.0
776	"atg000388l"	170280810.0
777	"atg000389l"	170303678.0
778	"atg000390l"	170413336.0
779	"atg000391l"	170457427.0
780	"atg000392l"	170479320.0
781	"atg000393l"	170514557.0
782	"atg000394l"	170555082.0
783	"atg000395l"	170582292.0
784	"atg000396l"	170642437.0
785	"atg000397l"	170704668.0
786	"atg000398l"	170739576.0
787	"atg000399l"	170790351.0
788	"atg000400l"	170882937.0
789	"atg000401l"	171260784.0
790	"atg000402l"	171676102.0
791	"atg000403l"	171992934.0
792	"atg000404l"	172461541.0
793	"atg000405l"	172514569.0
794	"atg000406l"	172536558.0
795	"atg000407l"	172553853.0
796	"atg000408l"	172573065.0
797	"atg000409l"	172617071.0
798	"atg000410l"	172636839.0
799	"atg000411l"	172665234.0
800	"atg000412l"	172709405.0
801	"atg000413l"	173087947.0
802	"atg000414l"	173480010.0
803	"atg000415l"	173495829.0
804	"atg000416l"	173514353.0
805	"atg000417l"	174129559.0
806	"atg000418l"	174200685.0
807	"atg000419l"	174219276.0
808	"atg000420l"	174249485.0
809	"atg000421l"	174286017.0
810	"atg000422l"	174301474.0
811	"atg000423l"	174726859.0
812	"atg000424l"	175050807.0
813	"atg000425l"	175113295.0
814	"atg000426l"	175150642.0
815	"atg000427l"	175196638.0
816	"atg000428l"	175376489.0
817	"atg000429l"	175409838.0
818	"atg000430l"	175445609.0
819	"atg000431l"	175477145.0
820	"atg000432l"	175523586.0
821	"atg000433l"	175635167.0
822	"atg000434l"	175690432.0
823	"atg000435l"	176295498.0
824	"atg000436l"	176324820.0
825	"atg000437l"	176343542.0
826	"atg000438l"	176912610.0
827	"atg000439l"	177596608.0
828	"atg000440l"	178047516.0
829	"atg000441l"	178076799.0
830	"atg000442l"	178253094.0
831	"atg000443l"	178271225.0
832	"atg000444l"	178297013.0
833	"atg000445l"	178306227.0
834	"atg000446l"	178387806.0
835	"atg000447l"	178430919.0
836	"atg000448l"	178551683.0
837	"atg000449l"	178753342.0
838	"atg000450l"	179007724.0
839	"atg000451l"	179053427.0
840	"atg000452l"	179128227.0
841	"atg000453l"	179150294.0
842	"atg000454l"	179172180.0
843	"atg000455l"	179209368.0
