R1	Q1	R2	Q2
255535129	7174854	255547818	7187525
564078507	181288735	564083264	181293496
257716337	8933673	257720817	8938131
827526597	319804048	827530754	319808198
997357114	366039231	997362665	366044830
879818813	186027245	879843028	186051456
727796915	317708007	727806584	317717686
96309392	124739515	96314253	124744388
721857988	368269442	721869293	368280757
583142188	141603255	583147306	141608374
207651663	121873449	207657978	121879764
588697320	142956888	588705627	142965193
477887831	117235008	477892815	117240022
98226494	145516079	98229987	145519601
879590348	277249934	879595554	277255121
477346257	116704194	477349339	116707301
96092876	124511950	96097818	124516870
453095053	382417423	453100593	382422772
255024719	6532469	255035729	6543478
997357114	361727579	997362688	361733197
711489823	211824077	711493093	211827361
373142290	317415426	373158668	317431805
726733515	67800685	726739106	67806286
997357114	366039147	997362688	366044765
193124801	97239634	193128644	97243463
208804411	122971296	208808434	122975323
581106797	159346952	581114264	159354416
581106797	313168590	581114264	313176054
204472684	153310809	204477796	153315919
96459458	124882976	96462959	124886492
204391917	153230544	204398850	153237504
39866945	104401653	39871355	104406038
914642492	197746311	914653125	197756952
879765563	323422183	879773224	323429820
725522654	130230638	725528615	130236632
727785920	445841205	727791590	445846900
327499618	86009832	327504754	86014972
398460139	27230515	398468729	27239086
8569164	469764830	8575359	469771013
8569164	410437734	8575359	410443917
8569164	194861829	8575359	194868012
725041677	129780069	725046459	129784843
711353263	211677823	711359569	211684117
644675827	336213217	644681474	336218840
973127305	209979542	973133414	209985639
328557918	87055964	328564953	87063026
935669976	224095044	935683620	224108700
879521007	70803919	879528327	70811258
936977333	151840140	936985077	151847852
891776108	192220698	891781308	192225881
98209575	145504759	98212816	145508023
327425501	85928033	327428687	85931224
582004841	957146	582019260	971568
679641820	206321984	679657507	206337703
583837600	142281647	583842538	142286586
608798842	47410078	608802545	47413743
973224166	284736046	973239888	284751726
226031634	253199376	226038215	253205946
397841814	26573524	397856335	26588069
961388936	140932985	961393590	140937650
937235897	239926940	937246278	239937363
880799962	93435598	880804288	93439925
757802795	128976647	757810424	128984277
226320496	161364840	226325544	161369941
470262090	135704054	470273702	135715792
756793242	228127875	756798144	228132775
891896142	192358183	891903553	192365561
253385853	5809579	253389889	5813613
883360043	80085686	883365273	80090887
269109654	176554327	269116982	176561683
561255199	168346607	561261714	168353104
98139671	145429311	98147502	145437109
651013329	171428790	651016973	171432447
246521436	92276609	246527020	92282187
22325948	118724878	22332366	118731293
724813082	129549430	724823595	129559954
369872566	498616133	369880035	498623610
189837803	150966794	189841842	150970869
927562776	51905034	927566831	51909086
227065962	162100357	227076092	162110507
96296930	124727364	96301728	124732162
934122359	10750029	934127874	10755567
489654458	350684061	489661624	350691238
399872994	231532147	399879370	231538520
882398993	106358531	882407649	106367204
583472574	141926022	583477601	141931050
20873888	57050841	20884036	57060990
207037611	121282430	207044505	121289366
279523394	150064012	279528054	150068633
327971959	86474407	327979991	86482433
51011546	138882939	51021241	138892609
926731165	51006362	926734691	51009889
255160479	6688911	255183308	6711744
726850232	67900729	726856063	67906569
878897715	80648791	878904275	80655360
256474959	7821746	256491257	7838022
327550805	86058867	327554415	86062475
399621259	28567465	399625472	28571692
82235538	178173208	82240119	178177822
760710688	144759035	760717382	144765742
933041823	462508312	933049997	462516489
997357888	385299506	997362930	385304577
469914191	135366485	469920034	135372321
96702229	125119069	96709294	125126200
341726478	41256477	341733495	41263483
885773418	70453515	885779104	70459195
279592389	150135690	279601049	150144334
97208038	125631622	97216272	125639899
882636675	156807460	882642277	156813062
930964018	55251357	930969422	55256786
193378682	97489609	193385048	97495977
434549237	243904888	434553824	243909467
590434784	284729178	590445700	284740106
39974106	104525672	39990993	104542574
883489302	80213983	883492710	80217390
95689878	124095118	95693508	124098734
881538888	127334260	881546785	127342199
269427678	176864798	269434216	176871325
82245509	178184187	82256316	178195002
973712680	230487460	973717011	230491791
279257386	149807904	279263862	149814405
195081314	99212184	195086950	99217758
326877446	85387736	326883570	85393833
51235411	139084861	51240765	139090266
328013869	86512644	328017332	86516092
245818112	91575193	245822601	91579697
398220904	27007975	398224730	27011800
724869420	129605629	724876242	129612430
727136674	68183651	727140389	68187365
726892279	67943210	726904096	67955055
929392784	53710266	929397564	53715034
711362300	211687682	711367219	211692633
209055301	123222725	209062689	123230088
209055301	409542099	209062689	409549462
209055301	477752535	209062689	477759898
287538803	157485301	287542781	157489275
859480304	123948111	859485593	123953403
885983830	132819414	885988888	132824515
226360377	161404173	226365951	161409775
187086240	174946576	187093865	174954219
205202251	154030849	205206386	154034950
308616608	179484088	308620890	179488359
882237858	128049220	882243862	128055214
480778474	100161294	480793502	100176411
963736862	67648211	963750305	67661648
749221235	66891479	749228430	66898689
760874802	144925041	760881844	144932125
933447067	236397306	933461255	236411504
279584552	150126591	279588788	150130880
726781299	67846593	726787685	67852938
880962960	188563406	880970182	188570609
891635582	192088445	891639697	192092551
245606816	184630631	245615130	184638908
756890500	228221430	756897607	228228591
399368519	28276203	399372697	28280409
880962960	164369102	880970182	164376307
565297716	196576019	565301568	196579882
227115386	162150969	227123361	162158929
327796765	86315107	327801163	86319500
914900749	197988390	914904751	197992388
611799714	94088819	611806297	94095339
255313410	6859883	255319252	6865729
477673670	117021645	477678468	117026442
654487333	91020003	654496916	91029552
611827964	94133536	611833543	94139031
81004114	83579441	81012846	83588277
328487877	86980790	328492838	86985766
193640377	97734963	193646575	97741151
21142375	57317851	21149368	57324786
654409525	90946394	654413517	90950379
914659086	232184088	914663350	232188347
631278337	197296566	631282696	197300913
588084762	224736998	588096542	224748780
189849328	150977855	189855795	150984347
226298408	161343909	226306937	161352443
927551440	51901053	927554571	51904179
183371821	235632469	183378144	235638741
434103254	45271296	434107930	45275966
434103254	318588632	434107930	318593302
182560487	155409920	182565039	155414503
592940764	154783197	592947511	154789943
81015645	83591507	81025150	83601066
891890174	192352443	891893849	192356125
227036921	162073790	227039978	162076787
934341503	132530180	934352109	132540786
724784542	129519986	724795586	129530954
397264068	26210297	397270867	26217069
997357114	347825458	997362031	347830412
205647113	199259751	205651250	199263899
95784625	124194703	95792866	124202948
933954174	93266620	933961456	93273919
326843349	85355335	326851587	85363509
328453172	86947124	328463594	86957568
253393203	5816252	253403260	5826331
934309520	136496924	934319591	136507012
934201914	10829203	934208097	10835352
205684620	404981595	205694414	404991420
205684620	436913962	205694414	436923787
205012114	153850017	205018342	153856236
160801871	12819872	160811245	12829224
926764351	51064481	926771159	51071260
81068496	83643571	81073388	83648444
727244735	68297539	727253005	68305803
206734023	121015205	206737543	121018777
477937275	117280793	477944747	117288232
891197907	193321138	891201714	193324951
469811361	135277919	469815114	135281669
935680569	229607773	935687977	229615189
477730115	117076848	477736703	117083508
937047479	148905581	937060002	148918104
303024905	24601918	303029371	24606410
294377223	214059424	294380579	214062804
885955101	132789147	885960348	132794368
681155688	80454756	681167471	80466536
611782911	94072776	611786747	94076619
590269632	295691354	590296006	295717729
589365963	143595285	589371669	143600997
928027355	52347063	928031374	52351103
894501189	199402850	894506516	199408172
711434211	211762226	711442325	211770304
929991828	54289530	929995720	54293403
611787242	94077107	611793176	94083116
885586721	80712916	885591528	80717724
21288942	57471166	21294629	57476846
51407893	139261146	51412195	139265434
97832814	126250214	97836109	126253513
327964838	86467941	327969082	86472204
917031531	226046594	917035821	226050887
917031531	253375077	917035821	253379370
917031531	470432568	917035821	470436861
182367144	155205053	182372446	155210393
98133129	145422034	98139238	145428121
96435291	124850698	96439755	124855209
930064174	54375729	930067359	54378900
280687015	194400370	280690784	194404155
607420629	45971319	607425437	45976174
757821515	128994674	757828394	129001547
934121529	286635403	934127874	286641772
928592407	52911696	928601760	52921105
581672148	625260	581677914	631030
891675402	192126676	891681131	192132400
347810290	87750844	347815660	87756219
325969517	84499565	325976794	84506826
206725476	121006817	206733890	121015203
195401417	99525819	195405704	99530088
589067975	193544524	589071742	193548291
279384748	149938343	279391561	149945107
973644025	230420431	973650499	230426917
608396001	47003706	608402525	47010261
609658412	123375543	609662820	123379946
616835033	201292375	616839487	201296820
434557918	243913618	434564214	243919928
208888797	123053629	208894112	123058959
204691555	153539326	204697439	153545170
279467856	150009860	279472172	150014177
881367775	127142553	881372938	127147705
184355717	23513705	184358675	23516656
972345969	148530760	972356815	148541593
96720680	125137451	96734259	125150978
51986867	139772019	51989766	139774934
934993331	216025224	934999449	216031357
882547256	156705191	882554974	156712907
469873333	135327691	469881246	135335648
885972573	132807966	885976331	132811718
225861786	18969278	225866112	18973586
96273846	124706163	96280114	124712419
527788893	12819871	527798280	12829236
255050644	6562742	255066084	6578184
8559568	194851404	8564083	194855947
933067247	225856601	933076063	225865415
20708722	56883062	20714379	56888682
469703634	135188345	469710461	135195139
96167016	124595141	96175543	124603676
303111044	24679461	303118953	24687381
753287032	55683176	753290280	55686416
881344402	70877986	881350091	70883703
8569164	285410853	8573212	285414893
805160109	50193450	805169875	50203275
654460852	90990256	654469742	90999143
929884976	54179641	929889166	54183811
997357114	254723678	997362049	254728638
43479765	175872828	43494341	175887158
40032201	104566796	40037087	104571674
753367967	55775099	753371834	55778975
649378791	188340934	649382572	188344673
8556463	285397329	8564083	285404971
8556463	410424210	8564083	410431852
928318943	52635950	928323199	52640184
885063209	82729626	885070947	82737369
589401467	38234170	589406446	38239158
480808693	100191187	480827386	100209741
399854473	43300444	399868840	43314788
286688663	67422928	286693149	67427395
926590533	50855042	926595150	50859669
301562542	133920405	301572984	133930816
589401467	225161431	589406446	225166419
724951720	129691192	724960956	129700453
881507875	127300819	881512166	127305115
327869101	86376905	327873843	86381636
326328072	84858175	326333651	84863744
204510989	153349616	204519519	153358095
246443115	92180922	246451252	92189141
654410207	90951998	654413517	90955301
929762102	54061537	929766556	54066024
665553896	146629625	665560579	146636306
828368643	118206374	828372043	118209772
399854473	44587012	399869285	44601826
695034398	90512474	695043781	90521860
934116396	142973160	934128562	142985270
586280949	159461514	586289051	159469621
397102304	26046644	397105785	26050128
226526075	161572476	226535980	161582423
885227946	82880821	885235863	82888737
79250491	376199993	79270277	376219650
328668451	87169647	328674130	87175319
79250491	481310292	79270967	481330615
21128637	57305387	21138944	57315701
879959531	186163362	879962937	186166752
257718768	8937037	257725193	8943450
184313068	23470140	184319237	23476261
194348323	98487513	194354241	98493391
417300974	424284604	417311663	424295333
756900053	228230975	756912878	228243816
301139443	137099890	301143058	137103496
589070762	193548811	589076365	193554400
915284252	129169	915297155	142072
489880135	145782649	489887381	145789892
208741322	122909388	208746928	122915043
182412051	155243342	182415565	155246819
398995328	27716637	399001896	27723231
248052024	74801885	248055348	74805170
96347709	124778015	96354865	124785206
227140243	162175431	227154339	162189432
914658058	197733540	914663350	197738827
679346917	327580078	679353594	327586750
590173145	224008159	590180474	224015483
724967620	129705944	724979250	129717624
226062547	253231209	226068352	253237015
208814146	122982000	208818104	122985957
96764227	125183116	96770456	125189378
255109511	6635689	255121537	6647719
135547646	216448964	135553951	216455300
227026213	162063510	227031096	162068358
859665771	154978918	859676846	154989961
933447281	405133866	933460692	405147264
589358002	193818002	589361999	193822003
607627876	46173097	607633261	46178471
588380636	10406403	588384746	10410514
926314401	50514110	926321918	50521574
364060	254512537	368258	254516737
328403732	86895949	328407532	86899762
81044905	83621438	81053390	83629945
95670212	124074717	95683271	124087878
915284541	58405573	915296121	58417141
879241988	126767232	879250476	126775735
270042982	137714589	270054191	137725944
97418682	125842778	97424186	125848322
325867736	84388180	325871607	84392067
879489721	127014040	879505869	127030158
8558791	469753631	8564083	469758948
301408094	133787483	301411420	133790815
246059258	91816140	246064523	91821396
98052594	145342357	98056370	145346100
631137023	197164982	631140822	197168788
929790950	54088025	929794365	54091452
257455971	8695828	257467074	8706926
443635010	156958035	443641681	156964666
728831369	223385589	728842599	223396792
255871422	7317257	255882283	7328133
227188173	162219118	227198992	162229980
301803930	134150034	301808160	134154213
248535193	75298298	248540348	75303457
96623855	125036354	96629118	125041665
397350643	26267585	397355746	26272698
560896042	167999771	560904553	168008282
928070864	52397194	928077028	52403374
699051488	330100690	699070786	330119989
805155574	50178707	805169905	50193108
301320591	137306520	301325272	137311216
891856165	192321572	891859736	192325145
665822418	146889154	665826065	146892775
51916569	139729010	51919725	139732173
727211874	68263412	727219352	68270919
928622683	52938196	928631341	52946856
399565090	28510846	399581948	28527769
303936450	25453354	303943784	25460666
930364829	54662803	930370188	54668148
328439052	86930441	328442780	86934191
583909177	142347420	583915023	142353253
469538497	135018917	469545152	135025565
43868165	176255862	43871787	176259483
680771043	80117546	680777925	80124437
966320605	62459406	966334930	62473743
966357774	62495735	966363765	62501792
563829103	181061938	563839842	181072540
582962798	141441673	582970925	141449819
303433959	25018714	303437143	25021887
469451561	134930840	469458174	134937478
207067548	121313831	207074929	121321231
711425765	211755204	711429587	211759053
301087406	137045246	301093276	137051159
880995554	70522032	881000719	70527181
302129365	134495795	302132972	134499403
881117614	188726091	881133335	188741851
279118131	149683252	279126962	149692051
882741111	206290497	882747558	206296921
96440196	124855686	96444095	124859567
997357569	385299506	997362564	385304495
927453257	51777261	927459641	51783662
961369139	140910410	961375682	140916989
592032687	151755929	592042906	151766143
184349062	23507089	184355019	23513012
936299684	300744636	936310373	300755354
936299684	283519030	936310373	283529748
934341558	136535160	934353145	136546743
182605157	155454808	182613407	155463101
756815712	228149691	756827863	228161832
949050506	332471138	949056020	332476657
51457107	139310759	51461520	139315161
183706846	270264342	183715323	270272791
727782183	445837453	727785636	445840904
651202662	171624446	651208307	171630107
398586368	27317617	398590934	27322203
937271122	239953320	937276206	239958405
917031531	464486298	917035267	464490036
588244088	10267299	588253886	10277096
591365524	11163847	591371948	11170294
563752761	180983008	563756017	180986267
914642482	232168532	914658037	232184088
40093248	104620722	40101894	104629388
226425316	161474681	226441266	161490594
608690777	47292089	608694706	47296000
79250491	388588415	79273464	388611290
20793980	56971024	20798347	56975356
279178521	149746970	279182059	149750504
194331152	98474743	194335672	98479225
588982606	143244371	588985988	143247766
480731516	100108947	480744005	100121384
682602011	133401860	682605796	133405647
508918126	17584837	508923161	17589905
194848079	98991200	194857302	99000452
616582432	201043930	616588346	201049830
880572195	128070303	880580107	128078213
937269959	209301433	937283526	209314999
914517894	389310765	914523659	389316514
417302204	156025253	417311663	156034706
96885875	125298399	96892344	125304886
182392791	155229373	182398436	155235046
757034356	228363800	757040592	228370016
591858221	216057972	591866131	216065884
726799299	67861504	726811185	67873357
608443338	47041672	608446786	47045149
934696517	266072538	934704048	266080060
195344874	99476264	195354310	99485789
680937325	206508998	680943312	206514984
398221203	27005053	398225319	27009165
489642387	198887924	489647036	198892572
440832071	194752647	440835517	194756108
269761825	137434429	269772328	137445032
882013267	127786342	882018188	127791261
748554858	200232853	748558104	200236108
469910885	135363400	469913961	135366481
934514291	11144475	934542841	11173043
915410583	21944616	915418129	21952135
97953412	145231646	97960719	145238921
159355321	215278045	159359606	215282324
194061920	98185568	194066515	98190170
680319364	173531745	680330909	173543314
398136067	26869398	398143787	26877120
194036850	98160515	194044249	98167920
257605915	8797862	257609810	8801764
20888331	57064297	20900033	57075980
973726717	265414081	973737633	265424997
581541651	491403	581546486	496258
914429063	197543447	914432674	197547064
250690160	77403628	250701310	77414821
434102312	45255457	434105826	45258964
207461622	121694069	207467961	121700394
680880172	80228743	680892248	80240795
721241066	295630943	721245886	295635774
679533924	156821305	679539526	156826908
651156399	171577134	651162609	171583305
963737941	67646472	963753183	67661648
749449195	67106401	749459748	67116925
477710229	117058029	477727436	117075340
609487443	48080611	609492566	48085744
606524020	179944023	606534525	179954597
929075456	53381804	929083760	53390156
935680569	149435020	935690099	149444558
935680569	352557740	935690099	352567278
180978515	136273289	180983688	136278460
885723001	80834985	885732850	80844797
302611475	24171786	302615277	24175571
247155619	92953105	247159927	92957425
975900819	169106453	975921555	169127194
930418054	54717622	930424792	54724384
973635397	230415126	973639782	230419498
916724198	154671358	916735930	154683079
18612052	188891008	18616421	188895371
477754236	117101359	477769205	117116341
725634434	130332517	725641983	130340046
585142515	482813	585150753	491051
928177555	52499974	928180934	52503354
55312266	140348312	55316976	140353017
891610224	192063804	891613639	192067233
225845631	18952614	225859924	18966902
583785504	142236754	583796549	142247830
588727847	142987424	588744767	143004333
583001110	141478645	583007581	141485105
581534138	482813	581542376	491051
960980291	140534655	960988661	140543011
942813674	258881593	942819606	258887551
326696059	85220498	326703542	85227906
727311433	68370866	727316690	68376114
752174252	9990245	752177325	9993293
930037922	54337891	930040585	54340557
96150025	124577774	96162403	124590126
885995205	132831000	886001882	132837669
40077637	104599449	40086214	104608015
208533120	122749932	208538969	122755779
397197965	26150168	397205712	26157892
97938402	145217452	97942539	145221576
680537461	173721265	680541660	173725445
205364456	154191126	205375173	154201864
194160043	98283426	194171472	98294785
926382191	50599658	926387106	50604636
269215668	176649856	269219670	176653838
654929018	130501632	654934152	130506772
327099998	85582861	327110772	85593653
325927581	84450890	325938200	84461515
397394548	26300818	397399249	26305525
327780219	86298021	327784384	86302199
884237684	396121569	884250088	396133971
881278483	127059068	881283508	127064084
20910699	57094027	20913854	57097175
725623889	130322558	725627909	130326593
227253158	162283234	227262750	162292816
43824347	176208885	43829418	176213977
681032267	206604533	681035282	206607545
884237684	150262693	884250088	150275095
757786867	128960841	757795180	128969157
758174031	129336366	758178202	129340557
20761225	56941333	20768460	56948517
914662144	232188572	914668556	232194987
609516126	48106548	609520054	48110446
227406264	162439543	227410027	162443295
447018139	216804297	447023135	216809331
208711019	122885084	208715410	122889467
527788897	66507008	527798269	66516340
608357435	46933802	608362050	46938430
98060666	145349950	98067724	145356977
757866554	129037732	757878964	129050133
711324226	211649801	711329483	211655057
20848565	57025736	20856362	57033521
930795925	55053184	930799603	55056871
934390093	196197022	934397855	196204795
609459970	48051748	609463672	48055469
326988370	85468213	326994381	85474254
259476207	35758108	259481289	35763194
226868415	161905575	226872082	161909206
879417853	150504708	879422101	150508956
227536137	162582232	227539369	162585446
711554128	390919003	711565354	390930182
560923451	168028836	560929737	168035123
681137746	80437834	681146906	80447000
227277562	162307585	227286896	162316900
399045040	27787542	399049344	27791844
399045040	27793878	399049344	27798180
881005081	126767227	881018860	126781022
227209911	162242550	227219456	162251960
51448661	139302736	51456688	139310761
915387597	21921183	915392715	21926311
469407300	134894881	469411016	134898591
398811966	27502116	398814998	27505149
681018367	206588892	681034008	206604534
21111211	57284299	21116335	57289417
227314148	162338235	227320104	162344167
882633674	156795724	882642295	156804351
472816701	229916759	472821580	229921597
914663777	197740270	914671587	197748087
654335114	90868954	654338309	90872147
98196915	145496673	98200690	145500453
327524394	86033828	327527705	86037139
681018367	272361776	681022597	272366007
782858424	190917841	782877293	190936705
722437108	443948083	722443300	443954295
935429247	209167073	935443897	209181681
934533716	196343280	934546390	196355946
40176768	104700528	40186468	104710228
926363518	50572376	926370613	50579481
302844030	24419371	302847223	24422568
477221629	116600781	477227678	116606821
469713624	135197469	469721291	135205103
246571110	92342060	246578169	92349127
440781824	194696758	440784792	194699759
726744638	67813003	726749963	67818361
246072867	91829892	246077430	91834455
966379794	62522209	966383311	62525722
612140736	94434481	612143747	94437486
227639302	162689780	227647641	162698143
758045204	129218275	758049890	129222984
608589558	47182808	608603342	47196681
189750179	150885362	189753066	150888246
711554128	336569065	711560684	336575573
27507992	118784478	27512177	118788695
879270509	150370204	879276120	150375813
184159300	23316531	184163068	23320276
328165635	86659689	328171112	86665166
324941295	284180168	324945548	284184458
324941295	412771411	324945548	412775701
193718644	97813550	193726255	97821153
995684533	50132284	995696988	50144714
399854473	44474238	399880191	44500063
926323545	50523468	926329553	50529438
604866850	396742429	604876506	396752092
756754356	228084792	756772114	228102499
589076834	193552175	589085360	193560712
396902224	25827609	396906416	25831790
248755980	75569419	248764823	75578341
654436168	90976771	654442668	90983252
757062704	228395132	757072008	228404414
279187140	149753810	279191322	149757995
301108767	137068020	301112679	137071907
189698718	150829712	189701498	150832500
588748137	143005796	588752180	143009819
757097469	228428899	757102701	228434120
679419138	156728708	679431474	156741042
